"st" "flag_fthb" "prop_type" "count" "fico_avg" "avg_ltv" "avg_dti" "year" "quart"
"222" "MA" "Y" "PU" 3 696.333333333333 83.3333333333333 33.6666666666667 "2000" "1"
"223" "MA" "Y" "SF" 367 704.373297002725 83.7520435967302 35.9073569482289 "2000" "1"
"224" "MD" "" "CO" 37 726.297297297297 81.8378378378378 31.3243243243243 "2000" "1"
"225" "MD" "" "LH" 1 744 78 39 "2000" "1"
"226" "MD" "" "PU" 40 703.15 71.225 32.775 "2000" "1"
"227" "MD" "" "SF" 245 700.90612244898 74.8489795918367 34.469387755102 "2000" "1"
"228" "MD" "N" "CO" 138 737.45652173913 74.4492753623188 31.5579710144928 "2000" "1"
"229" "MD" "N" "LH" 6 639 79 27.8333333333333 "2000" "1"
"230" "MD" "N" "MH" 1 592 94 30 "2000" "1"
"231" "MD" "N" "PU" 312 717.75641025641 77.6185897435897 35.2051282051282 "2000" "1"
"232" "MD" "N" "SF" 986 713.759634888438 76.368154158215 35.5 "2000" "1"
"233" "MD" "Y" "CO" 33 708.30303030303 80.2424242424242 34.3030303030303 "2000" "1"
"234" "MD" "Y" "LH" 1 701 80 19 "2000" "1"
"235" "MD" "Y" "MH" 1 578 95 38 "2000" "1"
"236" "MD" "Y" "PU" 115 711.078260869565 83.9739130434783 34.5304347826087 "2000" "1"
"237" "MD" "Y" "SF" 233 711.596566523605 83.5278969957082 34.793991416309 "2000" "1"
"238" "ME" "" "PU" 1 642 61 37 "2000" "1"
"239" "ME" "" "SF" 38 706.842105263158 73.1842105263158 33.7368421052632 "2000" "1"
"240" "ME" "N" "CO" 17 746.529411764706 72.0588235294118 33.8235294117647 "2000" "1"
"241" "ME" "N" "MH" 1 694 37 39 "2000" "1"
"242" "ME" "N" "PU" 4 729.75 70.25 37.75 "2000" "1"
"243" "ME" "N" "SF" 301 714.538205980066 75.890365448505 34.0332225913621 "2000" "1"
"244" "ME" "Y" "CO" 5 709.6 79 38.8 "2000" "1"
"245" "ME" "Y" "SF" 60 711.583333333333 85.2 33.0833333333333 "2000" "1"
"246" "MI" "" "CO" 21 691.666666666667 75.6190476190476 39.3333333333333 "2000" "1"
"247" "MI" "" "MH" 4 673.75 77.5 45 "2000" "1"
"248" "MI" "" "PU" 1 671 90 44 "2000" "1"
"249" "MI" "" "SF" 851 693.643948296122 72.807285546416 35.8813160987074 "2000" "1"
"250" "MI" "N" "CO" 269 727.981412639405 72.9665427509294 34.7174721189591 "2000" "1"
"251" "MI" "N" "LH" 3 719.333333333333 72.6666666666667 32.3333333333333 "2000" "1"
"252" "MI" "N" "MH" 2 709.5 67 37.5 "2000" "1"
"253" "MI" "N" "PU" 18 696.5 75.0555555555556 38.6111111111111 "2000" "1"
"254" "MI" "N" "SF" 3253 710.894251460191 75.4500461112819 34.6544727943437 "2000" "1"
"255" "MI" "Y" "CO" 109 737.697247706422 81.7155963302752 34.9449541284404 "2000" "1"
"256" "MI" "Y" "PU" 1 665 95 44 "2000" "1"
"257" "MI" "Y" "SF" 643 711.797822706065 85.0590979782271 33.5785381026439 "2000" "1"
"258" "MN" "" "CO" 19 702.210526315789 76 31.5263157894737 "2000" "1"
"259" "MN" "" "MH" 1 690 79 36 "2000" "1"
"260" "MN" "" "PU" 16 744.6875 75.375 28.5625 "2000" "1"
"261" "MN" "" "SF" 535 698.594392523364 72.6467289719626 33.7158878504673 "2000" "1"
"262" "MN" "N" "CO" 102 728.549019607843 76.7058823529412 33.5196078431373 "2000" "1"
"263" "MN" "N" "LH" 1 631 65 45 "2000" "1"
"264" "MN" "N" "MH" 1 671 80 38 "2000" "1"
"265" "MN" "N" "PU" 188 722.063829787234 73.6648936170213 35.436170212766 "2000" "1"
"266" "MN" "N" "SF" 2052 716.147660818713 78.2816764132554 34.6038011695906 "2000" "1"
"267" "MN" "Y" "CO" 97 728.144329896907 86.7938144329897 35.0618556701031 "2000" "1"
"268" "MN" "Y" "MH" 1 695 95 26 "2000" "1"
"269" "MN" "Y" "PU" 81 713.765432098765 83.8024691358025 35.8641975308642 "2000" "1"
"270" "MN" "Y" "SF" 659 705.748103186646 86.7799696509863 34.5948406676783 "2000" "1"
"271" "MO" "" "CO" 11 701.727272727273 79.0909090909091 31.4545454545455 "2000" "1"
"272" "MO" "" "MH" 1 638 85 39 "2000" "1"
"273" "MO" "" "PU" 29 704.586206896552 72.2068965517241 32.8620689655172 "2000" "1"
"274" "MO" "" "SF" 283 699.342756183746 75.3498233215548 32.9187279151943 "2000" "1"
"275" "MO" "N" "CO" 78 727.717948717949 82.2564102564103 31.8076923076923 "2000" "1"
"276" "MO" "N" "MH" 7 706.571428571429 83 31.5714285714286 "2000" "1"
"277" "MO" "N" "PU" 209 725.244019138756 76.9043062200957 34.8421052631579 "2000" "1"
"278" "MO" "N" "SF" 1358 710.545655375552 79.4985272459499 34.1988217967599 "2000" "1"
"279" "MO" "Y" "CO" 12 718.416666666667 85.3333333333333 34.5 "2000" "1"
"280" "MO" "Y" "PU" 52 717.211538461538 82.4038461538462 36.25 "2000" "1"
"281" "MO" "Y" "SF" 240 702.4125 89.3333333333333 34.2916666666667 "2000" "1"
"282" "MS" "" "CO" 1 758 80 43 "2000" "1"
"283" "MS" "" "SF" 71 686.591549295775 74.8591549295775 32.6901408450704 "2000" "1"
"284" "MS" "N" "CO" 2 754 83.5 45.5 "2000" "1"
"285" "MS" "N" "PU" 14 721.642857142857 79.4285714285714 29.7142857142857 "2000" "1"
"286" "MS" "N" "SF" 300 698.21 82.61 34.2833333333333 "2000" "1"
"287" "MS" "Y" "LH" 1 573 90 22 "2000" "1"
"288" "MS" "Y" "PU" 1 635 90 39 "2000" "1"
"289" "MS" "Y" "SF" 43 703.511627906977 88.7674418604651 31.8604651162791 "2000" "1"
"290" "MT" "" "CO" 3 748 75 25.6666666666667 "2000" "1"
"291" "MT" "" "MH" 2 715.5 77.5 29.5 "2000" "1"
"292" "MT" "" "PU" 1 762 80 34 "2000" "1"
"293" "MT" "" "SF" 89 705.52808988764 69.9662921348315 33.5730337078652 "2000" "1"
"294" "MT" "N" "CO" 6 763.166666666667 71.8333333333333 33 "2000" "1"
"295" "MT" "N" "MH" 2 710 87.5 43.5 "2000" "1"
"296" "MT" "N" "PU" 9 723 73.6666666666667 30.3333333333333 "2000" "1"
"297" "MT" "N" "SF" 243 711.753086419753 75.8271604938272 34.843621399177 "2000" "1"
"298" "MT" "Y" "CO" 4 709.5 81.75 36 "2000" "1"
"299" "MT" "Y" "MH" 3 732.666666666667 85 38.6666666666667 "2000" "1"
"300" "MT" "Y" "PU" 1 697 95 41 "2000" "1"
"301" "MT" "Y" "SF" 53 710.962264150943 81.1320754716981 33.8301886792453 "2000" "1"
"302" "NC" "" "CO" 34 729.294117647059 77.5 30.4705882352941 "2000" "1"
"303" "NC" "" "LH" 1 683 56 32 "2000" "1"
"304" "NC" "" "MH" 19 694.736842105263 82.7368421052632 38.5263157894737 "2000" "1"
"305" "NC" "" "PU" 57 707.59649122807 72.5263157894737 32.1052631578947 "2000" "1"
"306" "NC" "" "SF" 486 703.034979423868 73.5267489711934 35.1810699588477 "2000" "1"
"307" "NC" "N" "CO" 86 725.011627906977 79.2906976744186 31.9186046511628 "2000" "1"
"308" "NC" "N" "MH" 30 690.366666666667 81.7666666666667 35.9333333333333 "2000" "1"
"309" "NC" "N" "PU" 501 720.904191616766 76.748502994012 35.4710578842315 "2000" "1"
"310" "NC" "N" "SF" 2838 710.912614517266 78.3569415081043 34.646229739253 "2000" "1"
"311" "NC" "Y" "CO" 36 724.444444444444 87.0833333333333 35.1666666666667 "2000" "1"
"312" "NC" "Y" "MH" 3 703.666666666667 95 31.3333333333333 "2000" "1"
"313" "NC" "Y" "PU" 146 704.349315068493 85.7671232876712 33.0547945205479 "2000" "1"
"314" "NC" "Y" "SF" 418 699.736842105263 87.8708133971292 34.6196172248804 "2000" "1"
"315" "ND" "" "SF" 35 707.228571428571 75.1142857142857 33.6571428571429 "2000" "1"
"316" "ND" "N" "PU" 1 802 78 34 "2000" "1"
"317" "ND" "N" "SF" 70 727.914285714286 77.2142857142857 31.9285714285714 "2000" "1"
"318" "ND" "Y" "CO" 1 736 40 30 "2000" "1"
"319" "ND" "Y" "SF" 18 724.833333333333 87.8333333333333 31.8888888888889 "2000" "1"
"320" "NE" "" "PU" 4 724.5 74.5 21 "2000" "1"
"321" "NE" "" "SF" 87 710.850574712644 74.9655172413793 35.1954022988506 "2000" "1"
"322" "NE" "N" "CO" 3 687.666666666667 85 47 "2000" "1"
"323" "NE" "N" "PU" 14 720 76 32.7142857142857 "2000" "1"
